date,open,high,low,close,volume,change_percent,avg_vol_20d,daily_middle,dayNumber,year,is_quarter_end,Moving5DayClose,Moving10DayClose,Moving20DayClose,all_time_high,yearly_max_to_date,yearly_min_to_date,yearly_avg_to_date,monthly_max_to_date,monthly_min_to_date,monthly_avg_to_date,cumulativechange,run,DecreasingMA5-10,DecreasingMA5-20,DecreasingMA10-20,day_Tuesday,day_Wednesday,day_Thursday,day_Friday,month_February,month_March,month_April,month_May,month_June,month_July,month_August,month_September,month_October,month_November,month_December,target
1985-10-28,113.91,113.91,113.205,113.82,131460000,-0.08,159366000.0,113.5575,28,1985,0,114.54400000000001,114.3155,112.23625000000001,116.105,116.105,106.75,111.92833333333333,116.105,106.75,112.16024999999999,-1.6650000000000063,2.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1.0
1985-10-29,113.82,115.735,113.805,115.4,163400000,1.39,159878000.0,114.77000000000001,29,1985,0,114.73600000000002,114.5175,112.39924999999998,116.105,116.105,106.75,112.04199999999999,116.105,106.75,112.2845238095238,1.5800000000000125,1.0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1.0
1985-10-30,115.4,116.125,115.34,115.77,196040000,0.32,161448000.0,115.7325,30,1985,0,114.877,114.66299999999998,112.64649999999999,116.125,116.125,106.75,112.1839423076923,116.125,106.75,112.44125,1.9500000000000028,2.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0
1985-10-31,115.77,116.11,115.155,115.48,169920000,-0.25,162579000.0,115.6325,31,1985,0,114.876,114.737,112.877,116.125,116.125,106.75,112.31166666666667,116.125,106.75,112.58000000000001,-0.28999999999999204,1.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1.0
1985-11-01,115.48,116.775,115.48,116.275,180180000,0.69,164193000.0,116.1275,1,1985,0,115.349,114.9325,113.18699999999998,116.775,116.775,106.75,112.44794642857143,116.775,115.48,116.1275,0.7950000000000017,1.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.0
1985-11-04,116.275,117.075,115.825,116.04,150680000,-0.2,165295000.0,116.45,4,1985,0,115.793,115.1685,113.579,117.075,117.075,106.75,112.58594827586207,117.075,115.48,116.28875,-0.23499999999999943,1.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1.0
1985-11-05,116.04,116.565,115.88,116.44,175360000,0.34,166858000.0,116.2225,5,1985,0,116.001,115.3685,114.043,117.075,117.075,106.75,112.70716666666665,117.075,115.48,116.26666666666665,0.3999999999999915,1.0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1.0
1985-11-06,116.44,117.62,116.44,117.38,187000000,0.81,168398000.0,117.03,6,1985,0,116.32300000000001,115.6,114.4805,117.62,117.62,106.75,112.8466129032258,117.62,115.48,116.45749999999998,1.3399999999999892,2.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1.0
1985-11-07,117.38,117.965,117.38,117.62,177280000,0.2,169520000.0,117.6725,7,1985,0,116.751,115.8135,114.88975,117.965,117.965,106.75,112.997421875,117.965,115.48,116.70049999999999,1.5799999999999983,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,1.0
1985-11-08,117.62,119.39,117.585,119.26,173520000,1.39,170285000.0,118.4875,8,1985,0,117.348,116.34850000000002,115.30025,119.39,119.39,106.75,113.16378787878789,119.39,115.48,116.99833333333332,3.219999999999999,4.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,1.0
1985-11-11,119.26,120.54,119.18,120.4,160780000,0.96,172168000.0,119.86000000000001,11,1985,0,118.22,117.0065,115.66100000000002,120.54,120.54,106.75,113.36073529411766,120.54,115.48,117.40714285714284,4.359999999999999,5.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1.0
1985-11-12,120.39,122.01,120.39,121.82,216600000,1.18,174430000.0,121.2,12,1985,0,119.296,117.64850000000001,116.083,122.01,122.01,106.75,113.58471428571428,122.01,115.48,117.88125,5.789999999999992,6.0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0
1985-11-13,121.82,121.915,120.9,121.165,186420000,-0.54,174995000.0,121.4075,13,1985,0,120.053,118.18800000000002,116.42549999999999,122.01,122.01,106.75,113.8020138888889,122.01,115.48,118.27305555555556,-0.6549999999999869,1.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1.0
1985-11-14,121.165,121.915,120.8,121.835,196080000,0.55,175252000.0,121.3575,14,1985,0,120.896,118.82350000000001,116.78025,122.01,122.01,106.75,114.00621621621623,122.01,115.48,118.5815,0.6699999999999875,1.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,1.0
1985-11-15,121.835,123.1,121.79,122.175,190540000,0.28,175735000.0,122.445,15,1985,0,121.479,119.4135,117.173,123.1,123.1,106.75,114.22828947368421,123.1,115.48,118.93272727272728,1.009999999999991,2.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.0
1985-11-18,122.175,122.28,121.73,121.955,164420000,-0.18,176816000.0,122.005,18,1985,0,121.79,120.005,117.58675000000001,123.1,123.1,106.75,114.42769230769231,123.1,115.48,119.18874999999998,-0.21999999999999886,1.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1.0
1985-11-19,121.955,122.8,121.735,122.57,203600000,0.5,179109000.0,122.2675,19,1985,0,121.94000000000001,120.61799999999998,117.99324999999999,123.1,123.1,106.75,114.6236875,123.1,115.48,119.4255769230769,0.6149999999999949,1.0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0
1985-11-20,122.57,122.795,122.2,122.2,195200000,-0.3,178759000.0,122.4975,20,1985,0,122.147,121.1,118.35,123.1,123.1,106.75,114.81573170731708,123.1,115.48,119.64499999999998,-0.36999999999999034,1.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1.0
1985-11-21,122.2,123.805,122.2,123.61,239800000,1.15,181206000.0,123.0025,21,1985,0,122.502,121.699,118.75625,123.805,123.805,106.75,115.01065476190476,123.805,115.48,119.86883333333331,1.4099999999999966,1.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,1.0
1985-11-22,123.61,124.335,123.445,123.97,208400000,0.29,183334000.0,123.88999999999999,22,1985,0,122.86099999999999,122.17,119.25925,124.335,124.335,106.75,115.21715116279071,124.335,115.48,120.12015625000001,1.769999999999996,2.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.0
1985-11-25,123.97,124.165,122.815,123.135,166860000,-0.67,185104000.0,123.49000000000001,25,1985,0,123.09700000000001,122.44350000000001,119.725,124.335,124.335,106.75,115.40517045454546,124.335,115.48,120.31838235294119,-0.8349999999999937,1.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1.0
1985-11-26,123.135,124.255,123.09,123.95,187260000,0.66,186297000.0,123.6725,26,1985,0,123.373,122.65650000000001,120.1525,124.335,124.335,106.75,115.58888888888889,124.335,115.48,120.50472222222223,0.8149999999999977,1.0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1.0
1985-11-27,123.95,125.875,123.88,125.77,206600000,1.47,186825000.0,124.8775,27,1985,0,124.08700000000002,123.117,120.6525,125.875,125.875,106.75,115.7908152173913,125.875,115.48,120.73486842105264,2.634999999999991,2.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1.0
1985-11-29,125.77,126.435,125.52,126.06,115180000,0.23,184088000.0,125.97749999999999,29,1985,0,124.577,123.5395,121.1815,126.435,126.435,106.75,116.00755319148935,126.435,115.48,120.997,2.924999999999997,3.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.0
1985-12-02,126.06,126.28,124.855,125.185,171520000,-0.69,183655000.0,125.5675,2,1985,1,124.82000000000001,123.84049999999999,121.627,126.435,126.435,106.75,116.20671875,126.28,124.855,125.5675,-0.875,1.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.0
1985-12-03,125.185,125.42,124.72,125.23,169080000,0.04,184575000.0,125.07,3,1985,1,125.23899999999999,124.168,122.0865,126.435,126.435,106.75,116.38760204081632,126.28,124.72,125.31875,0.045000000000001705,1.0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.0
1985-12-04,125.23,128.055,125.17,127.94,234400000,2.16,187527000.0,126.61250000000001,4,1985,1,126.03699999999999,124.70500000000001,122.6615,128.055,128.055,106.75,116.59209999999999,128.055,124.72,125.75,2.7549999999999955,2.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1.0
1985-12-05,128.07,129.89,127.86,128.46,283000000,0.41,192327000.0,128.875,5,1985,1,126.575,125.33100000000002,123.21549999999999,129.89,129.89,106.75,116.83294117647058,129.89,124.72,126.53125,3.1450000000000102,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0.0
